RowNumber,CustomerId,source,Rating,Destination,Gender,Age,Frequency,noofpassanger,Class,MealTaken,TotalTransation,Exited
34,15659428,australia,520,Spain,Female,42,6,2,1,1,34410.55,0
35,15732963,england,722,Spain,Female,29,9,2,1,1,142033.07,0
36,15794171,india,475,France,Female,45,0,1,1,0,27822.99,1
37,15788448,australia,490,Spain,Male,31,3,1,0,1,114066.77,0
38,15729599,england,804,Spain,Male,33,7,1,0,1,98453.45,0
39,15717426,india,850,France,Male,36,7,1,1,1,40812.9,0
40,15585768,australia,582,Germany,Male,41,6,2,0,1,178074.04,0
41,15619360,england,472,Spain,Male,40,4,1,1,0,70154.22,0
42,15738148,india,465,France,Female,51,8,1,0,0,181297.65,1
43,15687946,australia,556,France,Female,61,2,1,1,1,94153.83,0
44,15755196,england,834,France,Female,49,2,1,0,0,194365.76,1
45,15684171,india,660,Spain,Female,61,5,1,1,1,158338.39,0
46,15754849,australia,776,Germany,Female,32,4,2,1,1,126517.46,0
47,15602280,england,829,Germany,Female,27,9,1,1,1,119708.21,1
48,15771573,india,637,Germany,Female,39,9,1,1,1,117622.8,1
49,15766205,india,550,Germany,Male,38,2,1,0,1,90878.13,0
50,15771873,australia,776,Germany,Female,37,2,2,1,0,194099.12,0
51,15616550,england,698,Germany,Male,44,10,2,1,0,198059.16,0
52,15768193,india,585,Germany,Male,36,5,2,0,0,86424.57,0
53,15683553,australia,788,France,Female,33,5,2,0,0,116978.19,0
54,15702298,england,655,Germany,Male,41,8,1,0,0,164040.94,1
55,15569590,india,601,Germany,Male,42,1,1,1,0,40014.76,1
56,15760861,australia,619,France,Male,43,1,1,1,1,113410.49,0
57,15630053,england,656,France,Male,45,5,1,1,0,87107.57,0
58,15647091,india,725,Germany,Male,19,0,1,0,0,45613.75,0
59,15623944,australia,511,Spain,Female,66,4,1,1,0,1643.11,1
60,15804771,england,614,France,Male,51,4,1,1,1,46775.28,0
61,15651280,india,742,Germany,Male,35,5,1,0,0,84509.57,0
62,15773469,australia,687,Germany,Female,27,9,2,0,0,126494.82,0
63,15702014,england,555,Spain,Male,33,1,2,0,0,178798.13,0
64,15751208,india,684,Spain,Male,56,8,1,1,1,99398.36,0
65,15592461,australia,603,Germany,Male,26,4,1,1,1,92840.67,0
66,15789484,england,751,Germany,Female,36,6,2,1,1,27758.36,0
67,15696061,india,581,Germany,Female,34,1,1,1,0,110431.51,0
68,15641582,australia,735,Germany,Male,43,10,2,1,1,196673.28,0
69,15638424,england,661,Germany,Female,35,5,2,0,1,113656.85,0
70,15755648,india,675,France,Female,21,8,1,1,0,18203,0
71,15703793,australia,738,Germany,Male,58,2,4,1,0,28373.86,1
72,15620344,england,813,France,Male,29,6,1,1,0,33953.87,0
73,15812518,india,657,Spain,Female,37,0,1,0,1,44203.55,0
74,15779052,india,604,Germany,Female,25,5,2,1,1,58426.81,0
75,15770811,australia,519,France,Male,36,9,2,0,1,145562.4,0
76,15780961,england,735,France,Female,21,1,2,1,0,22388,0
77,15614049,india,664,France,Male,55,8,2,1,1,139161.64,0
78,15662085,australia,678,France,Female,32,9,1,1,1,148210.64,0
79,15575185,england,757,Spain,Male,33,5,1,0,1,194239.63,0
80,15803136,india,416,Germany,Female,41,10,2,1,0,98301.61,0
81,15706021,australia,665,France,Female,34,1,2,0,0,171413.66,0
82,15663706,england,777,France,Female,32,2,1,1,0,136458.19,1
83,15641732,india,543,France,Female,36,3,2,0,0,26019.59,0
84,15701164,australia,506,France,Female,34,4,1,1,1,159235.29,0
85,15738751,england,493,France,Female,46,4,2,1,0,1907.66,0
86,15805254,india,652,Spain,Female,75,10,2,1,1,114675.75,0
87,15762418,australia,750,Spain,Male,22,3,1,1,0,128643.35,1
88,15625759,england,729,France,Male,30,9,2,1,0,151869.35,0
89,15622897,india,646,France,Female,46,4,3,1,0,93251.42,1
90,15767954,india,635,Germany,Female,28,3,2,1,1,156791.36,0
91,15757535,australia,647,Spain,Female,44,5,3,1,1,174205.22,1
92,15731511,england,808,France,Male,45,7,2,1,0,147132.46,0
93,15809248,india,524,France,Female,36,10,2,1,0,109614.57,0
94,15640635,australia,769,France,Male,29,8,2,1,1,172290.61,0
95,15676966,england,730,Spain,Male,42,4,2,0,1,85982.47,0
96,15699461,india,515,Spain,Male,35,10,1,0,1,121277.78,0
97,15738721,australia,773,Spain,Male,41,9,1,0,1,64595.25,0
98,15693683,england,814,Germany,Male,29,8,2,1,1,197276.13,0
99,15604348,india,710,Spain,Male,22,8,2,0,0,99645.04,0
100,15633059,australia,413,France,Male,34,9,2,0,0,6534.18,0
101,15808582,england,665,France,Female,40,6,1,1,1,161848.03,0
102,15743192,india,623,France,Female,44,6,2,0,0,167162.43,0
103,15580146,australia,738,France,Male,31,9,1,1,0,41970.72,0
104,15776605,england,528,Spain,Male,36,7,2,1,0,60536.56,0
105,15804919,india,670,Spain,Female,65,1,1,1,1,177655.68,1
106,15613854,india,622,Spain,Female,46,4,2,1,1,30984.59,1
107,15599195,australia,582,Germany,Male,32,1,1,1,1,10054.53,0
108,15812878,england,785,Germany,Female,36,2,1,0,1,36976.52,0
109,15602312,india,605,Spain,Male,33,5,1,0,0,71862.79,0
110,15744689,australia,479,Germany,Male,35,9,1,1,0,99449.86,1
111,15803526,england,685,Germany,Male,30,3,1,0,1,63082.88,0
112,15665790,india,538,Germany,Male,39,7,2,1,0,27231.26,0
113,15715951,australia,562,France,Male,42,2,1,0,0,86797.41,0
114,15591100,england,675,Spain,Male,36,9,1,0,1,22994.32,0
115,15609618,india,721,Germany,Male,28,9,2,0,1,101300.94,1
116,15675522,australia,628,Germany,Female,30,9,2,1,1,74169.13,0
117,15705512,england,668,Germany,Female,37,6,1,1,0,115638.29,0
118,15698028,india,506,France,Female,41,1,2,1,0,31766.3,0
119,15661670,australia,524,Germany,Female,31,8,1,1,0,199725.39,1
120,15600781,england,699,Germany,Male,34,4,2,1,0,120834.48,0
121,15682472,india,828,France,Male,34,8,2,0,0,38131.77,0
122,15580203,australia,674,Spain,Male,39,6,1,0,0,100130.95,0
123,15690673,england,656,France,Female,39,6,2,1,0,141069.88,0
124,15760085,india,684,Germany,Female,48,10,1,1,1,198129.36,0
125,15779659,australia,625,France,Female,28,3,1,0,0,183646.41,0
126,15627360,england,432,France,Male,42,9,1,1,0,110265.24,1
127,15671137,india,549,France,Female,52,1,1,0,1,8636.05,1
128,15782688,australia,625,Germany,Male,56,0,1,1,0,46824.08,1
129,15575492,england,828,France,Female,41,7,2,1,0,171378.77,0
130,15591607,india,770,France,Male,24,9,1,1,0,167256.35,0
131,15740404,india,758,France,Female,34,3,2,1,1,124226.16,0
132,15718369,australia,795,Germany,Female,33,9,1,1,1,114935.21,0
133,15677871,england,687,France,Male,38,9,1,1,1,35608.88,0
134,15642004,india,686,France,Male,25,1,2,0,1,16459.37,0
135,15712543,australia,789,Germany,Male,39,7,2,1,1,124411.08,0
136,15584518,england,589,Germany,Female,50,5,2,1,1,34941.23,0
137,15802381,india,461,Germany,Female,34,5,1,0,1,167784.28,0
138,15610156,australia,637,France,Male,40,2,1,0,1,93165.34,0
139,15594408,england,584,Spain,Female,48,2,1,1,0,75161.25,1
140,15640905,india,579,Spain,Female,35,1,2,0,1,8590.83,1
141,15698932,australia,756,Germany,Male,44,10,1,1,0,189543.9,0
142,15724944,england,663,France,Male,34,7,2,1,1,180427.24,0
143,15628145,india,682,France,Female,43,5,1,1,1,193318.33,0
144,15713483,australia,793,Spain,Male,52,2,1,1,0,159123.82,1
145,15612350,england,691,France,Female,31,5,1,1,0,126213.84,1
146,15800703,india,485,Spain,Female,21,5,1,1,1,54141.5,0
147,15705707,india,635,Spain,Female,29,8,2,1,0,141075.51,0
148,15754105,australia,650,France,Male,37,5,1,0,0,24495.03,0
149,15703264,england,735,France,Male,44,9,1,1,0,74836.34,0
150,15794413,india,416,France,Male,32,0,2,0,1,878.87,0
151,15650237,australia,754,Spain,Female,32,7,2,1,0,89520.75,0
152,15759618,england,535,France,Female,48,9,1,1,0,149892.79,1
153,15811589,india,716,Spain,Male,42,8,2,1,0,180800.42,0
154,15689044,australia,539,France,Male,37,2,1,1,0,98646.22,0
155,15709368,england,614,France,Female,43,6,2,1,1,109041.53,0
156,15679145,india,706,Spain,Male,57,7,1,1,0,17941.16,1
157,15655007,australia,758,France,Female,33,7,2,0,0,82996.47,0
158,15623595,england,586,Spain,Female,28,2,2,1,1,92067.35,0
159,15589975,india,646,France,Female,73,6,1,0,1,104719.66,0
160,15804017,australia,631,Germany,Female,33,4,1,0,0,112687.57,0
161,15692132,england,717,Spain,Female,22,6,1,0,1,84699.56,0
162,15641122,india,684,France,Male,30,2,2,1,0,83473.82,0
163,15630910,india,800,France,Female,49,7,1,0,0,47125.11,0
164,15680772,australia,721,Spain,Female,36,2,2,1,1,106977.8,0
165,15658929,england,683,Spain,Male,29,0,1,1,0,55582.54,1
166,15585388,india,660,Germany,Male,31,9,2,1,1,139874.43,0
167,15724623,australia,704,Germany,Female,24,7,1,1,0,162503.48,1
168,15588537,england,615,Spain,Female,41,9,1,1,0,196499.96,0
169,15574692,india,667,Spain,Female,39,2,2,1,0,40721.24,1
170,15611325,australia,682,Germany,Male,24,9,2,0,0,53134.3,0
171,15587562,england,484,France,Female,29,4,1,1,0,164017.89,0
172,15613172,india,628,Germany,Male,27,5,2,1,0,155996.96,0
173,15651022,australia,480,Germany,Male,44,10,1,1,0,5472.7,1
174,15586310,england,578,France,Male,30,4,1,1,0,112187.11,0
175,15625524,india,512,France,Male,40,5,2,1,1,146457.83,0
176,15755209,australia,484,Spain,Female,35,7,1,1,1,27286.1,0
177,15645248,england,510,France,Female,30,0,2,1,1,130553.47,0
178,15790355,india,606,Germany,Male,36,5,2,0,0,179351.89,0
179,15762615,australia,597,Spain,Female,40,8,1,0,1,94774.12,0
180,15625426,england,754,Germany,Female,55,3,1,1,0,8080.85,1
181,15716334,india,850,Spain,Female,45,2,1,1,1,19482.5,0
182,15789669,australia,510,France,Male,65,2,2,1,1,48071.61,0
183,15621075,england,778,Germany,Female,45,1,2,1,0,174531.27,0
184,15810845,india,636,France,Male,42,2,2,1,1,55470.78,0
185,15719377,australia,804,France,Female,50,4,1,1,1,8546.87,1
186,15654506,england,514,France,Male,32,8,2,1,0,95857.18,0
187,15771977,india,730,France,Female,39,1,1,1,0,194945.8,0
188,15708710,india,525,Spain,Female,37,0,1,0,1,131521.72,0
189,15726676,australia,616,Spain,Male,30,5,2,0,1,196108.51,0
190,15587421,england,687,Germany,Female,34,7,2,1,0,148564.76,0
191,15726931,india,715,France,Female,41,8,2,0,0,92982.61,1
192,15771086,australia,512,France,Female,36,3,2,1,0,17675.36,0
193,15756850,england,479,France,Male,40,1,2,0,0,114996.43,0
194,15702741,india,601,France,Male,32,8,1,1,0,86957.42,0
195,15679200,australia,580,Spain,Male,29,9,2,1,0,128077.8,0
196,15594815,england,807,France,Male,35,3,1,1,1,600.36,0
197,15635905,india,616,Spain,Female,32,6,2,1,1,43001.46,0
198,15777892,australia,721,Germany,Male,37,3,1,1,1,158591.12,0
199,15656176,england,501,France,Male,57,10,2,1,1,47847.19,0
200,15811127,india,521,France,Male,35,6,1,1,0,10488.44,0
201,15604482,australia,850,Spain,Male,30,2,1,1,1,5978.2,0
202,15622911,england,759,France,Male,42,4,1,0,1,121409.06,0
203,15600974,india,516,Spain,Male,50,5,1,0,1,146145.93,1
204,15727868,india,711,France,Female,38,2,2,1,1,14374.86,1
205,15627801,australia,512,Spain,Male,33,3,1,1,0,94670.77,0
206,15773039,england,550,France,Male,37,3,1,1,1,179670.31,0
207,15755262,india,608,Spain,Female,41,3,1,0,0,199304.74,1
208,15679531,australia,618,France,Male,34,5,1,1,1,151954.39,0
209,15684181,england,643,France,Male,45,5,1,1,0,142513.5,1
210,15612087,india,671,France,Male,45,2,1,0,1,158264.62,0
211,15752047,australia,689,Germany,Male,33,2,2,1,0,169381.9,0
212,15624592,england,603,France,Male,31,8,2,1,1,169915.02,0
213,15573152,india,620,France,Female,41,9,2,0,0,88852.47,0
214,15594917,australia,676,France,Female,34,1,1,1,1,40645.81,0
215,15785542,england,572,Germany,Male,26,4,2,0,0,60427.3,0
216,15723488,india,668,Germany,Male,47,7,1,0,1,157959.02,1
217,15680920,australia,695,France,Male,46,7,1,1,0,133007.34,0
218,15786308,england,730,Spain,Female,33,9,2,0,0,176576.62,0
219,15659366,india,807,France,Male,43,1,2,1,0,34888.04,1
220,15774854,india,592,France,Male,54,8,1,1,1,28737.71,1
221,15725311,australia,726,France,Female,31,9,2,1,1,98178.57,0
222,15787155,england,514,Spain,Male,30,7,1,0,1,125010.24,0
223,15727829,india,567,France,Male,42,2,2,1,1,167984.61,0
224,15733247,australia,850,France,Male,33,10,1,1,0,4861.72,1
225,15568748,england,671,Germany,Male,45,6,1,1,1,108872.45,1
226,15699029,india,670,France,Male,37,4,2,1,0,198252.88,0
227,15774393,australia,694,France,Female,30,9,2,1,1,26960.31,0
228,15676895,england,547,Germany,Female,39,6,3,1,1,85746.52,1
229,15637753,india,751,Germany,Male,50,2,1,1,0,77206.25,1
230,15605461,australia,594,Germany,Female,29,3,1,1,0,61048.53,0
231,15808473,england,673,France,Male,72,1,2,0,1,111981.19,0
232,15627000,india,610,France,Male,40,0,2,1,0,62232.6,0
233,15787174,australia,512,France,Female,37,1,2,0,1,156105.03,0
234,15723886,england,767,Germany,Male,20,3,2,0,1,150135.38,0
235,15704769,india,585,France,Female,67,5,2,0,1,93146.11,0
236,15772896,australia,763,Germany,Male,42,6,1,1,0,33462.94,1
237,15711540,england,712,France,Female,29,2,1,1,1,144375,0
238,15764866,india,539,Germany,Female,43,3,3,1,0,55803.96,1
239,15794056,australia,668,France,Female,46,2,3,1,0,89048.46,1
240,15795149,england,703,France,Male,28,2,2,0,1,162812.16,0
241,15812009,india,662,Spain,Male,38,4,2,1,0,136259.65,0
242,15651001,australia,725,Germany,Female,39,5,1,1,0,124052.97,0
243,15813844,england,703,France,Male,37,8,2,0,1,74158.8,0
244,15596175,india,659,Germany,Male,67,6,1,1,1,45071.09,1
245,15576269,india,523,Spain,Male,34,7,2,1,0,62030.06,0
246,15797219,australia,635,France,Female,40,10,1,1,0,131953.23,1
247,15685500,england,772,Germany,Male,26,7,2,1,0,79414,0
248,15599792,india,545,France,Female,26,1,2,1,1,199638.56,0
249,15657566,australia,634,Germany,Male,24,8,1,1,1,157577.29,0
250,15772423,england,739,Germany,Male,54,8,1,1,0,134420.75,1
251,15628112,india,771,Germany,Female,36,5,1,0,0,99805.99,0
252,15753754,australia,587,Spain,Female,34,1,2,1,1,97932.68,0
253,15793726,england,681,France,Female,79,0,2,0,1,170968.99,0
254,15694717,india,544,Germany,Male,37,2,1,1,1,57558.95,0
255,15665834,australia,696,Spain,Male,28,8,1,0,0,176713.47,0
256,15765297,england,766,Spain,Male,41,0,2,0,1,34283.23,0
257,15636684,india,727,France,Male,34,10,2,1,1,198637.34,0
258,15592979,australia,671,Germany,Female,34,6,2,0,0,156917.12,0
259,15750803,england,693,France,Female,30,6,1,1,1,50457.2,0
260,15607178,india,850,Germany,Male,38,3,1,1,1,140075.55,0
261,15713853,india,732,Germany,Male,42,9,2,1,1,65323.11,0
262,15673481,australia,726,Spain,Female,48,6,1,1,0,64323.24,0
263,15686776,england,557,France,Female,32,6,2,1,0,14956.44,0
264,15673693,india,682,France,Female,26,0,1,0,1,111879.21,0
265,15700696,australia,738,Spain,Male,31,9,1,1,1,18606.23,0
266,15813163,england,531,Spain,Female,36,9,1,1,0,123137.01,0
267,15653857,india,498,France,Male,34,2,2,1,1,148528.24,0
268,15777076,australia,651,France,Male,36,7,2,1,0,13898.31,0
269,15717398,england,549,Spain,Female,39,7,1,0,0,81259.25,1
270,15799217,india,791,Germany,Female,35,7,1,1,0,161051.75,0
271,15787071,australia,650,Spain,Male,41,9,2,0,1,191599.67,0
272,15619955,england,733,Germany,Male,34,3,3,1,0,48559.19,1
273,15796505,india,811,Germany,Female,34,1,2,1,1,186339.74,0
274,15725166,australia,707,France,Male,30,8,2,1,0,33159.37,0
275,15800116,england,712,Germany,Male,28,4,1,0,1,93883.53,0
276,15758685,india,706,Spain,Female,37,7,2,1,1,110899.3,0
277,15694456,india,756,France,Male,62,3,1,1,1,11199.04,1
278,15767339,australia,777,France,Female,53,10,2,1,0,189992.97,0
279,15683562,england,646,France,Male,35,6,1,0,1,164255.69,0
280,15782210,india,714,France,Male,46,1,1,1,0,152167.79,1
281,15668893,australia,782,France,Male,39,8,2,1,1,33949.67,0
282,15669169,england,775,Spain,Male,29,10,2,1,1,68143.93,0
283,15643024,india,479,Germany,Male,35,4,1,1,1,47251.79,1
284,15699389,australia,807,France,Male,42,7,1,1,1,25885.72,0
285,15708608,england,799,France,Female,22,8,2,0,1,192633.85,0
286,15626144,india,675,France,Male,40,7,2,1,0,34577.36,0
287,15573112,australia,602,Spain,Male,29,5,1,1,0,161229.84,0
288,15790678,england,475,France,Female,32,8,1,1,0,100816.29,0
289,15727556,india,744,Spain,Female,26,5,1,1,1,181694.44,0
290,15697307,australia,588,Spain,Male,34,10,2,1,0,79078.91,0
291,15652266,england,703,Germany,Male,42,9,1,0,1,137316.32,0
292,15607098,india,747,Spain,Female,41,5,2,1,0,194926.86,0
293,15655774,australia,583,France,Male,27,7,2,1,0,51285.49,0
294,15590241,england,750,Spain,Female,34,9,1,0,0,150401.53,1
295,15785819,india,681,France,Male,38,3,2,1,1,112491.96,0
296,15723654,australia,773,France,Male,25,2,1,1,0,73656.38,0
297,15774510,england,714,France,Female,31,4,1,1,1,106636.89,0
298,15684173,india,687,Spain,Female,44,7,3,1,0,155853.52,1
299,15650068,australia,511,France,Male,58,0,1,1,1,162599.51,0
300,15811490,england,627,France,Male,33,5,2,1,1,103737.82,0
301,15803976,india,694,France,Female,31,10,2,1,0,160990.27,0
302,15682541,india,616,Spain,Female,36,6,1,0,0,15462.84,0
303,15695699,australia,687,France,Male,35,8,2,1,0,10334.05,0
304,15624188,england,712,France,Female,33,6,2,1,1,190686.16,0
305,15812191,india,553,France,Male,33,4,1,0,0,94440.45,0
306,15636673,australia,667,France,Male,31,1,1,1,1,28257.63,0
307,15594898,england,731,France,Male,43,2,1,1,1,170034.95,1
308,15660211,india,629,Germany,Male,35,7,2,1,0,31824.29,0
309,15773972,australia,614,France,Male,50,4,1,1,0,127166.49,1
310,15746726,england,438,Germany,Male,31,8,1,1,0,44937.01,0
311,15712287,india,652,France,Female,80,4,2,1,1,188603.07,0
312,15702919,australia,729,Germany,Male,30,6,1,1,0,145111.37,0
313,15674398,england,642,France,Male,38,3,2,0,0,171463.83,0
314,15797960,india,806,Germany,Female,59,0,1,1,0,182822.5,0
315,15631868,australia,744,Spain,Male,36,2,1,1,1,87213.33,0
316,15581539,england,474,Spain,Male,37,3,2,0,0,57175.32,0
317,15662736,india,559,France,Male,49,2,1,1,0,120540.83,1
318,15666252,india,706,Spain,Male,42,9,2,1,1,28714.34,0
319,15677512,australia,628,Spain,Female,22,3,1,1,0,85426.28,0
320,15626114,england,429,France,Male,24,4,1,1,0,46170.75,0
321,15810834,india,525,Spain,Female,57,2,1,1,1,64448.36,0
322,15678910,australia,680,France,Female,30,8,1,1,1,16278.97,0
323,15694408,england,749,France,Male,40,1,1,1,0,182855.42,1
324,15585215,india,763,France,Female,31,4,2,0,0,50404.72,0
325,15682757,australia,734,France,Male,30,3,2,1,0,107640.25,0
326,15736601,england,716,France,Male,35,4,1,1,0,134132.65,0
327,15601848,india,594,France,Male,35,2,2,1,0,103480.69,0
328,15736008,australia,644,France,Female,46,9,1,1,0,108761.05,1
329,15669064,england,671,Germany,Male,35,1,1,1,1,179012.3,0
330,15624528,india,664,Germany,Male,26,7,2,1,1,95145.14,0
331,15598493,australia,656,France,Male,50,7,2,0,1,72143.44,0
332,15601274,england,667,Spain,Female,40,1,1,1,0,19162.89,0
333,15702669,india,663,Germany,Male,44,2,2,0,1,144680.18,0
334,15728669,india,584,Germany,Female,30,8,1,1,0,177772.03,1
335,15742668,australia,626,Spain,Female,37,6,1,1,0,5597.94,0
336,15697441,england,485,France,Male,29,7,1,1,0,116828.51,1
337,15740476,india,659,Germany,Female,32,3,2,0,1,174652.51,0
338,15648064,australia,649,France,Male,33,2,2,1,0,2010.98,0
339,15636624,england,805,Spain,Female,39,5,1,1,0,14109.85,1
340,15807923,india,716,Germany,Female,39,10,1,1,0,43527.4,1
341,15745844,australia,642,Germany,Female,40,6,2,0,1,86099.23,1
342,15786170,england,659,France,Male,31,4,1,0,0,161574.19,0
343,15681081,india,545,Spain,Female,47,5,2,1,1,38970.14,0
344,15684484,australia,543,France,Male,22,8,2,0,0,127587.22,0
345,15785869,england,718,France,Female,25,7,2,1,0,30380.12,0
346,15763859,india,840,France,Female,43,7,2,1,0,90908.95,0
347,15658935,australia,630,Germany,Female,34,9,2,1,0,138275.01,0
348,15747358,england,643,Germany,Male,59,3,1,1,1,32171.79,0
349,15735203,india,654,Germany,Female,32,1,1,1,1,126143.23,0
350,15576256,australia,582,France,Male,39,5,2,1,1,129892.93,0
351,15659420,england,659,Spain,Male,32,3,2,1,1,102416.84,0
352,15593365,india,762,Spain,Male,39,2,1,1,1,18719.67,0
353,15777352,australia,568,Spain,Female,32,7,1,1,0,61936.22,0
354,15812007,england,670,Spain,Male,25,6,2,1,1,78358.94,0
355,15625461,india,613,France,Female,45,1,2,1,1,147224.27,0
356,15739438,australia,539,France,Male,30,0,2,1,0,160979.66,0
357,15611759,england,850,Spain,Female,57,8,2,1,1,132298.49,0
358,15661629,india,522,Spain,Male,34,9,1,1,0,174248.52,1
359,15633950,india,737,France,Male,41,1,1,1,1,123547.28,0
360,15592386,australia,520,France,Male,58,3,2,0,1,32790.02,0
361,15803716,england,706,Spain,Male,28,3,2,0,1,181543.67,0
362,15696674,india,643,Germany,Female,45,2,1,0,1,2319.96,1
363,15706365,australia,648,France,Female,50,9,1,1,1,189543.19,0
364,15745088,england,443,Germany,Female,29,9,2,1,0,10940.4,0
365,15676715,india,640,France,Male,68,9,2,1,1,199493.38,0
366,15613085,australia,628,Spain,Female,33,3,1,1,1,188193.25,0
367,15633537,england,540,Germany,Female,42,9,2,1,0,172572.64,0
368,15594720,india,460,Germany,Female,35,8,2,1,1,189339.6,0
369,15684042,australia,636,Germany,Male,34,2,2,0,1,53512.16,0
370,15583303,england,593,France,Female,29,2,1,1,0,34004.44,0
371,15611579,india,801,Spain,Male,42,4,1,1,1,10598.29,0
372,15774696,australia,640,Germany,Female,75,1,2,0,1,113428.77,0
373,15694506,england,611,Germany,Male,31,0,2,1,1,183487.98,0
374,15688074,india,802,Germany,Male,31,1,1,1,1,187658.09,0
375,15759537,india,717,Germany,Male,35,7,2,1,1,172459.39,0
376,15758449,australia,769,France,Female,39,8,1,0,1,21016,0
377,15583456,england,745,Germany,Male,45,10,3,1,1,122381.02,1
378,15667871,india,572,Spain,Male,35,4,1,1,0,128123.66,0
379,15677371,australia,629,Spain,Female,30,2,1,1,0,19570.63,0
380,15629677,england,687,Spain,Female,39,2,3,0,0,188150.6,1
381,15713578,india,483,France,Female,50,9,2,1,1,111020.24,0
382,15591509,australia,690,France,Male,36,7,2,1,0,123775.15,0
383,15568240,england,492,Germany,Female,30,10,2,0,1,146700.22,0
384,15622993,india,709,Germany,Male,28,8,2,1,0,145251.35,0
385,15689294,australia,705,Germany,Male,44,3,1,1,0,82463.69,0
386,15720910,england,560,France,Female,66,9,1,1,1,15928.49,0
387,15721181,india,611,Spain,Male,46,6,2,1,0,45886.33,0
388,15776433,australia,730,Spain,Male,62,2,2,1,1,186489.95,0
389,15748936,england,709,Spain,Female,45,2,2,0,1,162922.65,0
390,15717225,india,544,France,Female,21,10,2,1,0,9262.77,0
391,15685226,india,712,Germany,Female,29,7,1,1,1,84932.4,0
392,15785611,australia,752,Germany,Male,38,3,1,1,1,71557.12,0
393,15573456,england,648,Spain,Male,46,9,2,1,0,77405.95,1
394,15684548,india,556,Spain,Male,38,8,2,0,0,417.41,1
395,15620505,australia,594,Spain,Female,24,0,1,1,1,71405.17,0
396,15807432,england,645,Germany,Female,37,2,2,0,1,153400.24,0
397,15584766,india,557,France,Male,33,3,1,1,1,371.05,0
398,15612187,australia,547,Germany,Male,32,8,1,1,0,67789.99,0
399,15762218,england,701,France,Female,39,9,2,0,1,145894.9,0
400,15646372,india,616,France,Female,66,1,1,1,0,183840.51,1
401,15690452,australia,605,France,Male,52,1,1,1,0,108887.44,0
402,15747795,england,593,Germany,Female,38,4,1,1,1,154071.27,0
403,15781589,india,751,Spain,Male,52,8,2,0,1,179291.85,0
404,15732674,australia,443,Spain,Male,36,6,2,0,1,56937.43,0
405,15642291,england,685,France,Male,23,8,2,1,1,112239.03,0
406,15692761,india,718,France,Male,36,9,1,1,0,45909.87,0
407,15578045,australia,538,Spain,Female,49,9,1,0,0,173779.25,1
408,15745354,england,611,Spain,Female,37,4,2,1,0,125696.26,0
409,15701376,india,668,Germany,Male,37,10,2,1,1,159585.61,0
410,15691625,australia,537,Germany,Female,41,3,1,1,0,106761.47,0
411,15566594,england,709,Spain,Male,23,10,2,0,0,129590.18,0
412,15760431,india,850,France,Male,38,1,2,1,1,80006.65,0
413,15686302,australia,745,Spain,Female,31,3,1,1,1,140451.52,0
414,15801559,england,693,Germany,Female,41,9,3,1,1,187929.43,1
415,15810432,india,795,Spain,Male,35,8,2,1,0,167155.36,0
